1606,Pirate Hogs,1
3007,Batteries,2
1585,SMS PUMAS 2,3
1439,Sea Urchins,4
1587,Sky Surfing Geeks,5
4419,TunaDudes,6
1617,Cool Cats,7
1596,RoboSharks,8
1601,Shmieglehumberflu,9
1,Stand-In 1,10
1492,SMS PUMAS,11
1608,The Right Angle,12
2338,Crazy Fishes,13
747,Hampstead Hackers,14
1778,Batteries Not Included,15
826,Engine Ears,16
487,Exotic Robotics,17
1588,Blue Dragons,18
1603,The Magigers,19
2168,DigiDudes,20
2809,Aqua Squad 9,21
3550,Londonderry Great White Sharks,22
3821,Aqua Divers,23
3,The NERDS,24
